,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Q18,0.1972862515927907,0.2933719870850531,-0.1825407199209332,0.21605195497524993,-0.0816279746398521,-0.08161043270970275,0.3894278007461617,-0.3716319301111446
Q19,-0.08308573162829208,0.11845424876008741,0.03780714579655421,0.5120155855448707,-0.25168293137409553,-0.08511487416969073,0.059447864671174674,0.01735316218447082
Q20,0.33881727842335313,-0.20712170351914466,-0.12776140289399407,-0.1031266688646996,0.1345027015217755,0.11729147534788373,0.15388363758895293,0.21268394748499744
Q21,0.4704330586733406,-0.024941154267941214,-0.23653402963901382,0.4035344613708557,-0.08539981935886273,-0.23874360733574332,-0.06814548072043598,0.010230090546149036
Q22,0.40771013997723543,0.11336663295597342,-0.2828087794428644,0.4712005723316554,-0.0639964660259021,-0.17607075488037807,0.07709163135152462,-0.16686938412323957
Q23,0.25768907127243307,0.35454397601880666,-0.1492295806276076,0.14937859658824915,0.5741775766230004,0.05884142508342168,-0.08771473288580964,-0.04697743838661353
Q24,-0.020573017184749295,0.20646650868758556,0.1724085118761206,-0.22916535902929366,0.11688657525229909,0.16069505526234543,0.05446146018680372,-0.013737441656726555
Q25,0.22447185841115586,0.4364968790393485,-0.137026853124597,0.0658124284248875,0.5890569771800439,0.1365594213194816,0.019978470463863557,0.07599106975259781
Q26,0.19313568943311793,0.5573446900505235,0.1783144319073837,-0.24401924705106004,0.01137780541482803,-0.07624206325243073,0.0520580020112999,-0.2632641316970256
Q27,0.19826631288505736,0.45325175305630616,-0.06101668787662786,-0.08901260528020531,-0.19586559662999356,-0.04573662551854668,-0.01352165115284023,0.24620948119111621
Q28,-0.024631353880913566,0.08965962211143519,0.032388151498401824,0.35718798403003343,0.15702081760487144,-0.16607220383532922,0.2108790411340249,-0.011000296076201966
Q29,0.13656070647235943,0.48888314541929817,0.2934385815704468,-0.12545598832597044,0.0582430759936173,-0.04746122189300485,-0.03158089574783271,-0.24976245770838762
Q30,0.03747681011167397,0.39800944133638144,0.38211978049982365,0.0029978705611580056,-0.13616001349758683,-0.24009493553383007,-0.1228749182089419,-0.06442827612259766
Q31,0.6929908879572384,-0.19471700413300502,0.13522911715130653,0.20745658092126698,0.09855109954756905,-0.008634613757495233,-0.06764430233856099,0.22445738586699338
